description,category
keyboard purchase croma,technology
canteen salad,food
bought watches online,shopping
software cloud storage subscription,technology
iphone purchase samsung,technology
sonyliv subscription yearly,entertainment
zomato food delivery,food
holiday package singapore,travel
dth dues payment,utilities
airbnb stay bangalore,travel
bus ticket delhi,travel
vehicle oil change,transport
flight ticket hyderabad,travel
monthly gas cylinder charge,utilities
sale shopping clothes,shopping
idli restaurant,food
holiday package shimla,travel
unacademy subscription learning,education
tablet purchase reliance digital,technology
shimla trip travel,travel
books purchase amazon,shopping
steam gaming purchase,entertainment
cab goa outstation,travel
coaching class math,education
noodles street food,food
ordered biryani online,food
gifts delivery myntra,shopping
lunch canteen,food
movie ticket cinepolis,entertainment
bought tablet,technology
charger accessories,technology
bought meat fish,food
mobile postpaid dues payment,utilities
visa fee delhi,travel
electronics purchase ajio,shopping
tablet accessories,technology
sushi street food,food
home decor market,shopping
airbnb stay bangkok,travel
bus pass monthly,transport
visa fee mumbai,travel
pharmacy medicines,health
sale shopping sunglasses,shopping
bike servicing service center,transport
coaching course fee,education
earphones purchase reliance digital,technology
laser tag arena,entertainment
earphones repair service,technology
concert dj ticket,entertainment
concert stand up ticket,entertainment
clothes delivery nykaa,shopping
water dues payment,utilities
bus ticket bangalore,travel
accessories purchase ajio,shopping
swiggy order sushi,food
sunglasses delivery ajio,shopping
bought vitamins,health
discord subscription monthly,entertainment
spotify subscription monthly,entertainment
ordered home decor nykaa,shopping
dunzo order dosa,food
train booking bangkok,travel
hotel stay hyderabad,travel
hotel stay dubai,travel
bought milk eggs bread,food
internet bill payment,utilities
dinner dhaba,food
gadgets market,shopping
sushi restaurant,food
flight ticket manali,travel
smartphone purchase reliance digital,technology
zomato order sandwich,food
new pen drive order,technology
swiggy food delivery,food
cab manali outstation,travel
zomato order pasta,food
discord subscription yearly,entertainment
vehicle tyre change,transport
prepaid cable tv recharge,utilities
paid lpg bill,utilities
visa fee kerala,travel
sale shopping gifts,shopping
gadgets delivery amazon,shopping
pharmacy vitamins,health
hard disk purchase reliance digital,technology
rice street food,food
mouse purchase samsung,technology
